Type,Name,DPI3,DPI4,DPI5
Upstream,ATAD3A,-2.19,-2.19,-2.19
Upstream,DNASE2,,-2.2,-1.974
Upstream,LINC00624,-1.969,-2.206,-2.206
Functional,Fibrinolysis,-2.219,-2.219,-2.219
Functional,Congestive heart failure,,-2.219,
Functional,Extrapancreatic malignant tumor,-1.746,-2.22,-1.713
Upstream,PNPT1,-2,-2.236,-2.236
Upstream,DUSP11,-2.236,-2.236,-2.236
Upstream,ZNF598,-2.236,-2.236,-2.236
Upstream,miR-199a-5p (and other miRNAs w/seed CCAGUGU),,-2.236,-2.236
Functional,Adenocarcinoma,,-2.236,
Upstream,INSIG1,,-2.236,
Upstream,FFAR3,,-2.236,
Functional,Quantity of bilirubin,-1.644,-2.275,-1.644
Functional,Calcinosis,-2.438,-2.324,-2.102
Functional,Upper abdominal cancer,-1.777,-2.332,-2.251
Functional,Replication of viral replicon,,-2.342,-2.976
Functional,Development of carcinoma,-1.914,-2.359,-2.135
Upstream,PGR,-1.691,-2.371,-1.638
Functional,Congenital anomalies of kidney and urinary tract,-1.925,-2.373,
Upstream,STK11,-1.937,-2.376,-1.937
Upstream,CPE,,-2.379,
Functional,Fibrosis of liver,-1.538,-2.386,-1.906
Upstream,INS,-2.448,-2.397,-2.32
Functional,Aciduria,-2.4,-2.4,-2.4
Functional,Abnormal morphology of central nervous system,,-2.401,
Functional,Crystalluria,-1.982,-2.412,-2.219
Upstream,BACH2,,-2.414,
Functional,Development of digestive organ tumor,-2.01,-2.417,-2.201
Functional,Abdominal carcinoma,-1.984,-2.42,-2.365
Functional,Hepato-pancreato-biliary cancer,-2.18,-2.421,-2.714
Functional,Acid-base imbalance,,-2.425,
Upstream,GAPDH,-2,-2.449,-2.236
Upstream,ACKR2,-2,-2.449,-2.449
Upstream,MGA,-2,-2.449,
Upstream,NRAS,-2.236,-2.449,-1.673
Upstream,KCNK9,,-2.449,-2
Functional,Digestive organ tumor,-1.928,-2.466,-2.593
Functional,Tremor,,-2.557,
Upstream,NGLY1,-2.169,-2.573,-2.573
Upstream,miR-145-5p (and other miRNAs w/seed UCCAGUU),-2.208,-2.602,-2.602
Functional,Tumorigenesis of epithelial neoplasm,-2.175,-2.605,-2.368
Functional,Formation of epithelial neoplasm,-2.175,-2.605,-2.368
Upstream,ADAR,-2.433,-2.607,-2.607
Upstream,SSTR2,,-2.607,-2.2
Functional,Calcification of kidney,-2.417,-2.615,-2.417
Functional,Abdominal lesion,,-2.619,
Upstream,MGP,-2.219,-2.621,-2.219
Upstream,USP18,-2.219,-2.63,-2.63
Upstream,RPSA,-2.219,-2.63,-2.63
Upstream,RACK1,-2.63,-2.63,-2.63
Upstream,SPRY2,,-2.63,-2.219
Upstream,Scd2,-2.236,-2.646,-2.646
Functional,Intraabdominal organ tumor,-2.066,-2.667,-2.469
Canonical,IL-12 Signaling and Production in Macrophages,-3.464,-2.668,-3.207
Upstream,FMR1,,-2.672,
Functional,Liver lesion,-2.371,-2.706,-2.728
Functional,Abdominal cancer,-1.953,-2.742,-2.526
Functional,Structural renal abnormality,-2.293,-2.757,-2.302
Functional,Growth of bacteria,-2.613,-2.795,-2.613
Upstream,EGLN,-2.8,-2.8,-2.8
Functional,Digestive system cancer,-2.281,-2.813,-2.9
Upstream,CD276,-2.236,-2.828,-2.828
Upstream,IRF2BP2,-2.449,-2.828,-2.646
Functional,Non-malignant disorder,,-2.882,-2.709
Upstream,SP110,-2.646,-2.887,-3.317
Upstream,CISH,,-2.908,-1.908
Functional,Failure of kidney,-2.598,-2.912,-2.672
Functional,Quantity of enzyme,,-2.923,-2.356
Upstream,ISG15,-2.782,-2.947,-2.782
Upstream,TTC39A-AS1,-2.425,-2.97,-2.97
Upstream,USP8,-2.433,-2.97,-2.97
Functional,Colitis,-2.417,-2.98,
Upstream,TRIM24,-2.433,-2.985,-2.985
Upstream,IMMT,-2.433,-2.985,-2.985
Functional,Inflammation of the large intestine,-2.442,-3.012,
Functional,Abnormality of large intestine,,-3.012,
Functional,Reduced kidney function,-2.833,-3.118,-2.893
Functional,Renal impairment,-2.833,-3.118,-2.893
Functional,Quantity of creatinine in blood,,-3.124,-2.646
Upstream,SOCS1,-2.818,-3.129,-3.129
Functional,Abnormal morphology of body cavity,-1.679,-3.168,-1.778
Functional,Fibrosis,-2.193,-3.175,-2.488
Upstream,TGFB2,-3.162,-3.207,-2.168
Upstream,NR0B2,-3.103,-3.223,-3.358
Functional,Urination disorder,-2.612,-3.224,-2.33
Upstream,Irgm1,-2.581,-3.235,-3.086
Functional,Seizure disorder,,-3.267,
Functional,Abnormal morphology of abdomen,-2.052,-3.309,-2.155
Upstream,miR-146a-5p (and other miRNAs w/seed GAGAACU),-2.236,-3.434,-2.236
Functional,Extraintestinal functional disorder,,-3.45,
Functional,Seizures,,-3.483,
Functional,Enteritis,-2.895,-3.528,
Functional,Abnormal abdomen morphology,-2.801,-3.544,-2.916
Upstream,MEN1,,-3.597,
Upstream,RC3H1,-3.317,-3.606,-3.606
Functional,Nephritis,-2.543,-3.607,-3.207
Functional,Movement disorders,-1.554,-3.63,-0.995
Functional,Bleeding,-3.423,-3.644,-3.213
Upstream,miR-182-5p (and other miRNAs w/seed UUGGCAA),-3.568,-3.705,-3.426
Functional,Inflammation of gastrointestinal tract,-2.895,-3.709,
Upstream,UBAP1,-3.148,-3.729,-3.729
Functional,Inflammation of absolute anatomical region,-3.573,-3.734,-2.857
Functional,Gastroenteritis,-2.895,-3.768,
Upstream,BANF1,-3.249,-3.789,-3.668
Upstream,REST,-2.792,-3.796,-2.588
Functional,Inflammation of organ,-3.551,-3.831,-3.04
Functional,Infection of mammalia,,-3.844,-3.224
Functional,Polyuria,-3.274,-3.937,-3.695
Canonical,GAIT Translation Signaling Pathway,-3.742,-4,-3.742
Upstream,IL1RN,-3.317,-4.051,-4.111
Upstream,STAG2,-3.313,-4.12,-4.12
Upstream,F3,-3.116,-4.15,-4.238
Upstream,ZNF750,-3.302,-4.221,-4.101
Upstream,ETV6,-3.546,-4.418,-4.304
Upstream,RNASEH2B,-3.817,-4.523,-4.523
Upstream,TREX1,-3.653,-4.57,-4.57
Upstream,ETV3,-3.873,-4.796,-4.69
Upstream,IRGM,-3.974,-5.06,-4.859
Functional,Inflammation of body cavity,-4.289,-5.288,-4.472
Functional,Organismal death,-6.756,-9.404,-6.72
Functional,Chemotaxis of myeloid cells,2.929,,3.376
Functional,Clearance of cells,2.587,,
Functional,Release of arachidonic acid,2.565,,2.565
Functional,Phagocytosis of antigen presenting cells,2.537,,2.641
Functional,Development of genitourinary system,2.459,,2.459
Functional,Release of steroid,2.372,,
Functional,Metabolism of eicosanoid,2.349,,
Functional,Synthesis of eicosanoid,2.339,,2.069
Functional,Cell movement of monocytes,2.291,,2.675
Functional,Hydrolysis of lipid,2.18,,2.587
Functional,Phagocytosis by macrophages,2.148,,2.201
Functional,Uptake of cells,2,,2.412
Functional,Transmission of lipid,2,,2
Upstream,PLG,2,,2
Functional,Modification of retinaldehyde,2,,
Upstream,mir-15 (includes others),2,,
Functional,Translocation of Na+,1.982,,
Upstream,HNF4G,1.981,,
Upstream,IL1R1,1.98,,1.98
Functional,Metabolism of monocarboxylic acid,1.96,,1.96
Functional,Synthesis of 12-hydroxyeicosatetraenoic acid,1.953,,
Functional,Secretion of protein,1.89,,
Functional,Killing of bacteria,1.823,,2.026
Functional,Transport of carbohydrate,1.747,,2.207
Functional,Removal of lipid,1.727,,1.222
Upstream,ATF4,1.725,,2.373
Functional,Gluconeogenesis,1.7,,1.269
Functional,Translocation of sterol,1.677,,1.677
Functional,Immune response of peritoneal macrophages,1.628,,1.628
Functional,Fibrogenesis,1.43,,
Upstream,STAT5B,1.414,,1.508
Functional,Adhesion of endothelial cells,1.403,,
Functional,Systemic inflammation,1.387,,
Functional,Recruitment of cells,1.318,,2.025
Functional,Killing of Streptococcus,1.192,,1.192
Functional,Release of dopamine,1.183,,
Upstream,FABP5,1.091,,1.091
Functional,Influx of cells,1.039,,0.655
Functional,Size of infarct,1.036,,1.435
Functional,Clearance of lipid,1.026,,0.597
Functional,Concentration of phosphatidic acid,1.02,,1.02
Functional,Binding of epithelial cell lines,0.928,,1.483
Functional,Growth of kidney,0.885,,1.131
Functional,Binding of bacteria,0.876,,1.175
Functional,Quantity of glycogen,0.792,,1.044
Functional,Synthesis of neurotransmitter,0.784,,0.784
Functional,Conditioning,0.705,,
Functional,Concentration of cholesterol ester,0.686,,1.067
Functional,Release of catecholamine,0.618,,
Functional,Adhesion of phagocytes,0.526,,0.931
Functional,Binding of vascular cells,0.514,,
Functional,Binding of blood platelets,0.473,,0.442
Upstream,GH1,0.394,,0.394
Functional,Natriuresis,0.339,,
Functional,Excretion of Na+,0.303,,
Functional,Growth of organism,0.302,,0.441
Functional,Binding of granulocytes,0.288,,0.449
Functional,Oxidation of fatty acid,0.239,,0.026
Upstream,ESR1,0.223,,1.025
Functional,Quantity of aromatic amino acid,0.222,,
Upstream,IFN gamma,0.192,,0.626
Functional,Localization of lipid,0.116,,
Upstream,HOTAIR,0.01,,0.01
Upstream,estrogen receptor,0,,
Functional,Accumulation of acylglycerol,-0.121,,-0.717
Functional,Binding of neutrophils,-0.168,,0.077
Functional,Emotional behavior,-0.237,,
Functional,Accumulation of cholesterol,-0.342,,-0.726
Functional,Malignant genitourinary solid tumor,-0.415,,
Functional,Quantity of phosphate,-0.677,,
Functional,Damage of endothelial cells,-1,,
Upstream,GPR15LG,-1,,
Functional,Urological disorder of kidney,-1.117,,-0.742
Functional,Proliferation of hepatocytes,-1.161,,-0.767
Functional,Hemorrhagic disease,-1.414,,-1.414
Functional,Disorder of iron metabolism,-1.414,,-1.414
Functional,Congenital malformation of kidney,-1.925,,
Upstream,CLPP,-1.969,,-1.969
Functional,Hydrolysis of protein,-2,,-1.342
Functional,Atrophy of organ,-2.09,,-2.146
Functional,Proliferation of E. coli,-2.163,,-2.163
Functional,Atrophy of kidney,-2.183,,-2.385
Upstream,CBX5,-2.236,,
Functional,Bleeding of tissue,-2.619,,-2.619
Functional,Angiogenesis,,,3.539
Functional,Vasculogenesis,,,3.209
Functional,Recruitment of myeloid cells,,,3.003
Functional,Chemotaxis of neutrophils,,,2.769
Functional,Migration of vascular cells,,,2.767
Functional,Recruitment of phagocytes,,,2.501
Functional,Recruitment of leukocytes,,,2.478
Upstream,ERK,,,2.383
Functional,Migration of endothelial cells,,,2.297
Upstream,NCOA3,,,2.216
Upstream,C5,,,2.216
Upstream,PPARGC1B,,,2.213
Functional,Synthesis of cyclic AMP,,,2.21
Upstream,IKBKE,,,2.152
Functional,Cell movement of endothelial cells,,,2.079
Functional,Catabolism of phospholipid,,,2
Functional,Uptake of hormone,,,2
Upstream,G protein alpha i,,,2
Canonical,Signaling by Retinoic Acid,,,2
Upstream,IFN alpha/beta,,,1.981
Upstream,MOGAT1,,,1.98
Upstream,VEGF,,,1.941
Upstream,CD40LG,,,1.941
Functional,Quantity of urea,,,1.912
Functional,Innate immune response,,,1.746
Functional,Inactivation of lipid,,,1.71
Functional,Uptake of monosaccharide,,,1.6
Functional,Necrosis of epithelial tissue,,,1.577
Functional,Cell movement of eosinophils,,,1.571
Functional,Lipolysis of adipose tissue,,,1.474
Upstream,RAC1,,,1.455
Functional,Production of reactive oxygen species,,,1.449
Upstream,ESR2,,,1.407
Upstream,TNFRSF1B,,,1.387
Upstream,TAFAZZIN,,,1.383
Upstream,CYP19A1,,,1.366
Functional,Accumulation of myeloid cells,,,1.352
Functional,Accumulation of carbohydrate,,,1.254
Functional,Damage of vascular system,,,1.137
Functional,Response of lymphocytes,,,1.131
Upstream,F2R,,,1.067
Functional,Hydrolysis of triacylglycerol,,,1.037
Functional,Dermatitis,,,0.975
Upstream,PTH,,,0.932
Functional,Apoptosis of tubular cells,,,0.928
Functional,Foam cells,,,0.895
Functional,Binding of embryonic cell lines,,,0.89
Functional,Binding of kidney cell lines,,,0.886
Functional,Esterification of cholesterol,,,0.796
Upstream,LIPE,,,0.762
Functional,Response of lymphatic system cells,,,0.749
Functional,Accumulation of polyols,,,0.692
Functional,Accumulation of macrophages,,,0.647
Upstream,CXCL12,,,0.626
Functional,Ischemia of kidney,,,0.447
Upstream,SRF,,,0.431
Upstream,ZEB1,,,0.371
Functional,Anemia,,,0.364
Functional,Growth of epithelial tissue,,,0.348
Functional,Production of hydroperoxide,,,0.316
Upstream,PNPLA2,,,0.302
Upstream,SMAD7,,,0.259
Functional,Movement of bone marrow cell lines,,,0.243
Functional,Malignant connective or soft tissue neoplasm,,,0.152
Functional,Binding of endothelial cell lines,,,-0.128
Upstream,mir-21 (includes others),,,-0.213
Functional,Migration of bone marrow cell lines,,,-0.577
Upstream,CAT,,,-0.988
Functional,Necrosis of liver,,,-0.996
Functional,Accumulation of triacylglycerol,,,-1.013
Upstream,AMPK,,,-1.187
Functional,Quantity of lipid peroxide,,,-1.4
Upstream,IgG,,,-1.473
Upstream,NFAT5,,,-1.735
Functional,Interstitial fibrosis of kidney,,,-1.794
Upstream,miR-21-5p (and other miRNAs w/seed AGCUUAU),,,-1.98
Functional,Atrophy of renal glomerulus,,,-2
Upstream,SFTPA1,,,-2
Upstream,CNOT3,,,-2
Functional,Apoptosis,,,-2.163
Upstream,CITED2,,,-2.204
Functional,Abnormal morphology of small kidney,,,-2.219
Functional,Pulmonary emphysema,,,-2.228
Functional,Replication of Hepatitis C virus,,,-2.229
Functional,Glomerulonephritis,,,-2.4
Functional,Replication of Flaviviridae,,,-2.431
